VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,election_zone_code,total_election_votes,eligible_voters_election,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,recall_valid_votes,recall_invalid_votes,recall_eligible_voters,recall_turnout_rate,recall_case,candidate_1_name,candidate_1_number,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_number,candidate_2_party,candidate_2_votes,candidate_3_name,candidate_3_number,candidate_3_party,candidate_3_votes,candidate_4_name,candidate_4_number,candidate_4_party,candidate_4_votes,candidate_5_name,candidate_5_number,candidate_5_party,candidate_5_votes,candidate_6_name,candidate_6_number,candidate_6_party,candidate_6_votes,candidate_7_name,candidate_7_number,candidate_7_party,candidate_7_votes,candidate_8_name,candidate_8_number,candidate_8_party,candidate_8_votes
65000040055,新北市,永和區,桂林里,新北市第09選區,6500009,2175,3134,林德福,中國國民黨,1341,569,1125,1694,11,3118,54.68,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,1341,莊銘淵,2,民主進步黨,572,陳愷寧,3,台灣維新,262,,,,,,,,,,,,,,,,,,,,
65000040056,新北市,永和區,店街里,新北市第09選區,6500009,2473,3525,林德福,中國國民黨,1432,744,1187,1931,8,3570,54.31,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,1432,莊銘淵,2,民主進步黨,752,陳愷寧,3,台灣維新,289,,,,,,,,,,,,,,,,,,,,
65000040057,新北市,永和區,信義里,新北市第09選區,6500009,1586,2233,林德福,中國國民黨,833,520,761,1281,6,2201,58.47,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,833,莊銘淵,2,民主進步黨,575,陳愷寧,3,台灣維新,178,,,,,,,,,,,,,,,,,,,,
65000040058,新北市,永和區,後溪里,新北市第09選區,6500009,1242,1757,林德福,中國國民黨,554,477,599,1076,4,1874,57.63,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,554,莊銘淵,2,民主進步黨,540,陳愷寧,3,台灣維新,148,,,,,,,,,,,,,,,,,,,,
65000040059,新北市,永和區,民富里,新北市第09選區,6500009,1713,2398,林德福,中國國民黨,952,514,789,1303,3,2354,55.48,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,952,莊銘淵,2,民主進步黨,512,陳愷寧,3,台灣維新,249,,,,,,,,,,,,,,,,,,,,
65000040060,新北市,永和區,秀元里,新北市第09選區,6500009,1850,2560,林德福,中國國民黨,1024,590,837,1427,7,2505,57.25,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,1024,莊銘淵,2,民主進步黨,595,陳愷寧,3,台灣維新,231,,,,,,,,,,,,,,,,,,,,
65000040061,新北市,永和區,永樂里,新北市第09選區,6500009,1393,1983,林德福,中國國民黨,749,470,581,1051,3,1912,55.13,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,749,莊銘淵,2,民主進步黨,469,陳愷寧,3,台灣維新,175,,,,,,,,,,,,,,,,,,,,
65000040062,新北市,永和區,保順里,新北市第09選區,6500009,6503,8962,林德福,中國國民黨,3688,1959,3102,5061,23,9087,55.95,第11屆立法委員(新北市第9選舉區)林德福罷免案各投開票所投開票結果表,林德福,1,中國國民黨,3688,莊銘淵,2,民主進步黨,1960,陳愷寧,3,台灣維新,855,,,,,,,,,,,,,,,,,,,,
65000110001,新北市,汐止區,義民里,新北市第12選區,6500012,842,1165,廖先翔,中國國民黨,432,272,350,622,3,1096,57.03,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,18,楊木火,2,無黨籍及未經政黨推薦,6,李佳蒨,3,臺灣雙語無法黨,7,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,375,廖先翔,6,中國國民黨,432,,,,,,,,
65000110002,新北市,汐止區,禮門里,新北市第12選區,6500012,702,989,廖先翔,中國國民黨,345,255,286,541,2,991,54.79,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,6,楊木火,2,無黨籍及未經政黨推薦,5,李佳蒨,3,臺灣雙語無法黨,8,陳長志,4,台灣維新,1,賴品妤,5,民主進步黨,337,廖先翔,6,中國國民黨,345,,,,,,,,
65000110003,新北市,汐止區,智慧里,新北市第12選區,6500012,2978,4128,廖先翔,中國國民黨,1665,975,1412,2387,6,4181,57.24,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,39,楊木火,2,無黨籍及未經政黨推薦,13,李佳蒨,3,臺灣雙語無法黨,59,陳長志,4,台灣維新,10,賴品妤,5,民主進步黨,1192,廖先翔,6,中國國民黨,1665,,,,,,,,
65000110004,新北市,汐止區,信望里,新北市第12選區,6500012,209,300,賴品妤,民主進步黨,106,82,80,162,1,287,56.79,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,3,楊木火,2,無黨籍及未經政黨推薦,0,李佳蒨,3,臺灣雙語無法黨,4,陳長志,4,台灣維新,1,賴品妤,5,民主進步黨,106,廖先翔,6,中國國民黨,95,,,,,,,,
65000110005,新北市,汐止區,橋東里,新北市第12選區,6500012,2283,3202,廖先翔,中國國民黨,1232,787,1109,1896,15,3291,58.07,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,23,楊木火,2,無黨籍及未經政黨推薦,11,李佳蒨,3,臺灣雙語無法黨,40,陳長志,4,台灣維新,9,賴品妤,5,民主進步黨,968,廖先翔,6,中國國民黨,1232,,,,,,,,
65000110006,新北市,汐止區,秀峰里,新北市第12選區,6500012,2507,4713,廖先翔,中國國民黨,1337,879,1023,1902,11,4829,39.61,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,41,楊木火,2,無黨籍及未經政黨推薦,15,李佳蒨,3,臺灣雙語無法黨,40,陳長志,4,台灣維新,10,賴品妤,5,民主進步黨,1064,廖先翔,6,中國國民黨,1337,,,,,,,,
65000110007,新北市,汐止區,新昌里,新北市第12選區,6500012,3315,4682,廖先翔,中國國民黨,1799,1185,1440,2625,8,4707,55.94,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,46,楊木火,2,無黨籍及未經政黨推薦,13,李佳蒨,3,臺灣雙語無法黨,45,陳長志,4,台灣維新,14,賴品妤,5,民主進步黨,1398,廖先翔,6,中國國民黨,1799,,,,,,,,
65000110008,新北市,汐止區,復興里,新北市第12選區,6500012,4679,6208,廖先翔,中國國民黨,2665,1720,2256,3976,20,6400,62.44,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,27,楊木火,2,無黨籍及未經政黨推薦,12,李佳蒨,3,臺灣雙語無法黨,68,陳長志,4,台灣維新,28,賴品妤,5,民主進步黨,1879,廖先翔,6,中國國民黨,2665,,,,,,,,
65000110009,新北市,汐止區,茄苳里,新北市第12選區,6500012,2627,3902,廖先翔,中國國民黨,1358,976,1271,2247,11,4288,52.66,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,47,楊木火,2,無黨籍及未經政黨推薦,18,李佳蒨,3,臺灣雙語無法黨,43,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,1153,廖先翔,6,中國國民黨,1358,,,,,,,,
65000110010,新北市,汐止區,長安里,新北市第12選區,6500012,1003,1458,廖先翔,中國國民黨,512,358,415,773,4,1385,56.1,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,13,楊木火,2,無黨籍及未經政黨推薦,2,李佳蒨,3,臺灣雙語無法黨,25,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,447,廖先翔,6,中國國民黨,512,,,,,,,,
65000110011,新北市,汐止區,保安里,新北市第12選區,6500012,1001,1437,廖先翔,中國國民黨,516,309,416,725,3,1408,51.7,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,12,楊木火,2,無黨籍及未經政黨推薦,5,李佳蒨,3,臺灣雙語無法黨,18,陳長志,4,台灣維新,6,賴品妤,5,民主進步黨,444,廖先翔,6,中國國民黨,516,,,,,,,,
65000110012,新北市,汐止區,保長里,新北市第12選區,6500012,2870,4088,廖先翔,中國國民黨,1515,1070,1143,2213,5,4121,53.82,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,37,楊木火,2,無黨籍及未經政黨推薦,18,李佳蒨,3,臺灣雙語無法黨,64,陳長志,4,台灣維新,15,賴品妤,5,民主進步黨,1221,廖先翔,6,中國國民黨,1515,,,,,,,,
65000110013,新北市,汐止區,鄉長里,新北市第12選區,6500012,1480,2059,廖先翔,中國國民黨,753,526,643,1169,6,1986,59.16,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,19,楊木火,2,無黨籍及未經政黨推薦,7,李佳蒨,3,臺灣雙語無法黨,35,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,658,廖先翔,6,中國國民黨,753,,,,,,,,
65000110014,新北市,汐止區,江北里,新北市第12選區,6500012,3684,5321,廖先翔,中國國民黨,1919,1477,1420,2897,14,5477,53.15,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,68,楊木火,2,無黨籍及未經政黨推薦,23,李佳蒨,3,臺灣雙語無法黨,52,陳長志,4,台灣維新,14,賴品妤,5,民主進步黨,1608,廖先翔,6,中國國民黨,1919,,,,,,,,
65000110015,新北市,汐止區,拱北里,新北市第12選區,6500012,2846,4482,廖先翔,中國國民黨,1505,943,1282,2225,12,4562,49.04,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,38,楊木火,2,無黨籍及未經政黨推薦,15,李佳蒨,3,臺灣雙語無法黨,60,陳長志,4,台灣維新,17,賴品妤,5,民主進步黨,1211,廖先翔,6,中國國民黨,1505,,,,,,,,
65000110016,新北市,汐止區,烘內里,新北市第12選區,6500012,980,1436,廖先翔,中國國民黨,505,342,435,777,2,1437,54.21,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,10,楊木火,2,無黨籍及未經政黨推薦,4,李佳蒨,3,臺灣雙語無法黨,21,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,436,廖先翔,6,中國國民黨,505,,,,,,,,
65000110017,新北市,汐止區,八連里,新北市第12選區,6500012,618,916,賴品妤,民主進步黨,311,262,249,511,0,914,55.91,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,6,楊木火,2,無黨籍及未經政黨推薦,3,李佳蒨,3,臺灣雙語無法黨,4,陳長志,4,台灣維新,2,賴品妤,5,民主進步黨,311,廖先翔,6,中國國民黨,292,,,,,,,,
65000110018,新北市,汐止區,樟樹里,新北市第12選區,6500012,1260,1890,廖先翔,中國國民黨,635,439,539,978,6,1856,53.02,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,19,楊木火,2,無黨籍及未經政黨推薦,3,李佳蒨,3,臺灣雙語無法黨,19,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,580,廖先翔,6,中國國民黨,635,,,,,,,,
65000110019,新北市,汐止區,北峰里,新北市第12選區,6500012,3104,4466,廖先翔,中國國民黨,1501,1137,1223,2360,11,4460,53.16,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,39,楊木火,2,無黨籍及未經政黨推薦,15,李佳蒨,3,臺灣雙語無法黨,61,陳長志,4,台灣維新,15,賴品妤,5,民主進步黨,1473,廖先翔,6,中國國民黨,1501,,,,,,,,
65000110020,新北市,汐止區,北山里,新北市第12選區,6500012,3714,5145,廖先翔,中國國民黨,1920,1338,1661,2999,16,5258,57.34,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,38,楊木火,2,無黨籍及未經政黨推薦,19,李佳蒨,3,臺灣雙語無法黨,78,陳長志,4,台灣維新,18,賴品妤,5,民主進步黨,1641,廖先翔,6,中國國民黨,1920,,,,,,,,
65000110021,新北市,汐止區,白雲里,新北市第12選區,6500012,2855,4029,廖先翔,中國國民黨,1559,974,1310,2284,12,4194,54.74,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,31,楊木火,2,無黨籍及未經政黨推薦,5,李佳蒨,3,臺灣雙語無法黨,56,陳長志,4,台灣維新,12,賴品妤,5,民主進步黨,1192,廖先翔,6,中國國民黨,1559,,,,,,,,
65000110022,新北市,汐止區,橫科里,新北市第12選區,6500012,2914,4102,廖先翔,中國國民黨,1450,973,1298,2271,15,4040,56.58,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,27,楊木火,2,無黨籍及未經政黨推薦,16,李佳蒨,3,臺灣雙語無法黨,71,陳長志,4,台灣維新,5,賴品妤,5,民主進步黨,1345,廖先翔,6,中國國民黨,1450,,,,,,,,
65000110023,新北市,汐止區,東山里,新北市第12選區,6500012,358,526,廖先翔,中國國民黨,186,128,125,253,1,530,47.92,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,6,楊木火,2,無黨籍及未經政黨推薦,3,李佳蒨,3,臺灣雙語無法黨,3,陳長志,4,台灣維新,2,賴品妤,5,民主進步黨,158,廖先翔,6,中國國民黨,186,,,,,,,,
65000110024,新北市,汐止區,福山里,新北市第12選區,6500012,2366,3342,廖先翔,中國國民黨,1242,818,1110,1928,7,3399,56.93,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,23,楊木火,2,無黨籍及未經政黨推薦,9,李佳蒨,3,臺灣雙語無法黨,42,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,1042,廖先翔,6,中國國民黨,1242,,,,,,,,
65000110025,新北市,汐止區,宜興里,新北市第12選區,6500012,1883,2599,廖先翔,中國國民黨,1039,549,959,1508,5,2587,58.48,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,33,楊木火,2,無黨籍及未經政黨推薦,8,李佳蒨,3,臺灣雙語無法黨,41,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,758,廖先翔,6,中國國民黨,1039,,,,,,,,
65000110026,新北市,汐止區,中興里,新北市第12選區,6500012,4728,6852,廖先翔,中國國民黨,2468,1662,2087,3749,16,6991,53.85,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,61,楊木火,2,無黨籍及未經政黨推薦,25,李佳蒨,3,臺灣雙語無法黨,88,陳長志,4,台灣維新,21,賴品妤,5,民主進步黨,2065,廖先翔,6,中國國民黨,2468,,,,,,,,
65000110027,新北市,汐止區,湖光里,新北市第12選區,6500012,4078,5591,廖先翔,中國國民黨,2299,1403,1984,3387,13,5780,58.82,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,41,楊木火,2,無黨籍及未經政黨推薦,30,李佳蒨,3,臺灣雙語無法黨,54,陳長志,4,台灣維新,21,賴品妤,5,民主進步黨,1633,廖先翔,6,中國國民黨,2299,,,,,,,,
65000110028,新北市,汐止區,仁德里,新北市第12選區,6500012,1170,1634,廖先翔,中國國民黨,651,416,525,941,5,1629,58.07,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,21,楊木火,2,無黨籍及未經政黨推薦,4,李佳蒨,3,臺灣雙語無法黨,11,陳長志,4,台灣維新,7,賴品妤,5,民主進步黨,476,廖先翔,6,中國國民黨,651,,,,,,,,
65000110029,新北市,汐止區,厚德里,新北市第12選區,6500012,4179,5962,廖先翔,中國國民黨,2384,1350,1912,3262,17,6012,54.54,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,44,楊木火,2,無黨籍及未經政黨推薦,13,李佳蒨,3,臺灣雙語無法黨,62,陳長志,4,台灣維新,15,賴品妤,5,民主進步黨,1661,廖先翔,6,中國國民黨,2384,,,,,,,,
65000110030,新北市,汐止區,忠孝里,新北市第12選區,6500012,4905,7049,廖先翔,中國國民黨,2742,1625,2259,3884,18,7190,54.27,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,65,楊木火,2,無黨籍及未經政黨推薦,17,李佳蒨,3,臺灣雙語無法黨,71,陳長志,4,台灣維新,17,賴品妤,5,民主進步黨,1993,廖先翔,6,中國國民黨,2742,,,,,,,,
65000110031,新北市,汐止區,自強里,新北市第12選區,6500012,3675,5072,廖先翔,中國國民黨,1965,1245,1652,2897,17,5141,56.68,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,28,楊木火,2,無黨籍及未經政黨推薦,17,李佳蒨,3,臺灣雙語無法黨,62,陳長志,4,台灣維新,18,賴品妤,5,民主進步黨,1585,廖先翔,6,中國國民黨,1965,,,,,,,,
65000110032,新北市,汐止區,文化里,新北市第12選區,6500012,2970,4022,廖先翔,中國國民黨,1615,944,1390,2334,22,4095,57.53,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,32,楊木火,2,無黨籍及未經政黨推薦,20,李佳蒨,3,臺灣雙語無法黨,46,陳長志,4,台灣維新,11,賴品妤,5,民主進步黨,1246,廖先翔,6,中國國民黨,1615,,,,,,,,
65000110033,新北市,汐止區,金龍里,新北市第12選區,6500012,3347,4866,廖先翔,中國國民黨,1756,1168,1598,2766,11,4955,56.04,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,32,楊木火,2,無黨籍及未經政黨推薦,14,李佳蒨,3,臺灣雙語無法黨,57,陳長志,4,台灣維新,15,賴品妤,5,民主進步黨,1473,廖先翔,6,中國國民黨,1756,,,,,,,,
65000110034,新北市,汐止區,福德里,新北市第12選區,6500012,2117,3081,廖先翔,中國國民黨,1111,756,893,1649,14,3159,52.64,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,26,楊木火,2,無黨籍及未經政黨推薦,7,李佳蒨,3,臺灣雙語無法黨,34,陳長志,4,台灣維新,9,賴品妤,5,民主進步黨,930,廖先翔,6,中國國民黨,1111,,,,,,,,
65000110035,新北市,汐止區,興福里,新北市第12選區,6500012,2108,2939,廖先翔,中國國民黨,1171,709,996,1705,14,3034,56.66,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,20,楊木火,2,無黨籍及未經政黨推薦,14,李佳蒨,3,臺灣雙語無法黨,32,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,863,廖先翔,6,中國國民黨,1171,,,,,,,,
65000110036,新北市,汐止區,康福里,新北市第12選區,6500012,3344,4797,廖先翔,中國國民黨,1816,1206,1533,2739,15,4956,55.57,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,31,楊木火,2,無黨籍及未經政黨推薦,12,李佳蒨,3,臺灣雙語無法黨,66,陳長志,4,台灣維新,11,賴品妤,5,民主進步黨,1408,廖先翔,6,中國國民黨,1816,,,,,,,,
65000110037,新北市,汐止區,忠山里,新北市第12選區,6500012,2334,3042,廖先翔,中國國民黨,1429,632,1168,1800,8,3061,59.07,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,23,楊木火,2,無黨籍及未經政黨推薦,5,李佳蒨,3,臺灣雙語無法黨,44,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,825,廖先翔,6,中國國民黨,1429,,,,,,,,
65000110038,新北市,汐止區,環河里,新北市第12選區,6500012,793,1102,賴品妤,民主進步黨,465,350,237,587,4,1040,56.83,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,6,楊木火,2,無黨籍及未經政黨推薦,3,李佳蒨,3,臺灣雙語無法黨,13,陳長志,4,台灣維新,4,賴品妤,5,民主進步黨,465,廖先翔,6,中國國民黨,302,,,,,,,,
65000110039,新北市,汐止區,東勢里,新北市第12選區,6500012,3218,4422,廖先翔,中國國民黨,1785,1035,1605,2640,13,4651,57.04,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,33,楊木火,2,無黨籍及未經政黨推薦,25,李佳蒨,3,臺灣雙語無法黨,67,陳長志,4,台灣維新,19,賴品妤,5,民主進步黨,1289,廖先翔,6,中國國民黨,1785,,,,,,,,
65000110040,新北市,汐止區,山光里,新北市第12選區,6500012,1782,2542,廖先翔,中國國民黨,1007,576,903,1479,5,2804,52.92,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,19,楊木火,2,無黨籍及未經政黨推薦,6,李佳蒨,3,臺灣雙語無法黨,29,陳長志,4,台灣維新,6,賴品妤,5,民主進步黨,715,廖先翔,6,中國國民黨,1007,,,,,,,,
65000110041,新北市,汐止區,大同里,新北市第12選區,6500012,1807,2490,廖先翔,中國國民黨,971,597,782,1379,5,2529,54.73,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,28,楊木火,2,無黨籍及未經政黨推薦,7,李佳蒨,3,臺灣雙語無法黨,33,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,760,廖先翔,6,中國國民黨,971,,,,,,,,
65000110042,新北市,汐止區,崇德里,新北市第12選區,6500012,3044,4277,廖先翔,中國國民黨,1681,1032,1352,2384,8,4329,55.26,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,38,楊木火,2,無黨籍及未經政黨推薦,7,李佳蒨,3,臺灣雙語無法黨,34,陳長志,4,台灣維新,16,賴品妤,5,民主進步黨,1268,廖先翔,6,中國國民黨,1681,,,,,,,,
65000110043,新北市,汐止區,湖興里,新北市第12選區,6500012,4210,5866,廖先翔,中國國民黨,2478,1333,2110,3443,21,5997,57.76,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,85,楊木火,2,無黨籍及未經政黨推薦,16,李佳蒨,3,臺灣雙語無法黨,57,陳長志,4,台灣維新,6,賴品妤,5,民主進步黨,1568,廖先翔,6,中國國民黨,2478,,,,,,,,
65000110044,新北市,汐止區,長青里,新北市第12選區,6500012,633,876,廖先翔,中國國民黨,353,221,297,518,5,880,59.43,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,5,楊木火,2,無黨籍及未經政黨推薦,3,李佳蒨,3,臺灣雙語無法黨,7,陳長志,4,台灣維新,2,賴品妤,5,民主進步黨,263,廖先翔,6,中國國民黨,353,,,,,,,,
65000110045,新北市,汐止區,福安里,新北市第12選區,6500012,3921,5420,廖先翔,中國國民黨,2170,1336,1640,2976,18,5463,54.81,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,51,楊木火,2,無黨籍及未經政黨推薦,18,李佳蒨,3,臺灣雙語無法黨,80,陳長志,4,台灣維新,25,賴品妤,5,民主進步黨,1577,廖先翔,6,中國國民黨,2170,,,,,,,,
65000110046,新北市,汐止區,秀山里,新北市第12選區,6500012,2894,4045,廖先翔,中國國民黨,1625,925,1353,2278,17,4035,56.88,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,42,楊木火,2,無黨籍及未經政黨推薦,11,李佳蒨,3,臺灣雙語無法黨,47,陳長志,4,台灣維新,14,賴品妤,5,民主進步黨,1155,廖先翔,6,中國國民黨,1625,,,,,,,,
65000110047,新北市,汐止區,建成里,新北市第12選區,6500012,3361,4559,廖先翔,中國國民黨,2010,1064,1702,2766,9,4585,60.52,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,40,楊木火,2,無黨籍及未經政黨推薦,9,李佳蒨,3,臺灣雙語無法黨,50,陳長志,4,台灣維新,16,賴品妤,5,民主進步黨,1236,廖先翔,6,中國國民黨,2010,,,,,,,,
65000110048,新北市,汐止區,城中里,新北市第12選區,6500012,2931,4016,廖先翔,中國國民黨,1708,980,1445,2425,10,4081,59.67,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,36,楊木火,2,無黨籍及未經政黨推薦,8,李佳蒨,3,臺灣雙語無法黨,44,陳長志,4,台灣維新,8,賴品妤,5,民主進步黨,1127,廖先翔,6,中國國民黨,1708,,,,,,,,
65000110049,新北市,汐止區,湖蓮里,新北市第12選區,6500012,1957,2577,廖先翔,中國國民黨,1209,622,1035,1657,9,2748,60.63,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,12,楊木火,2,無黨籍及未經政黨推薦,4,李佳蒨,3,臺灣雙語無法黨,26,陳長志,4,台灣維新,3,賴品妤,5,民主進步黨,703,廖先翔,6,中國國民黨,1209,,,,,,,,
65000110050,新北市,汐止區,保新里,新北市第12選區,6500012,1701,2566,廖先翔,中國國民黨,966,514,891,1405,9,2707,52.23,第11屆立法委員(新北市第12選舉區)廖先翔罷免案各投開票所投開票結果表,黃瑞傳,1,無黨籍及未經政黨推薦,23,楊木火,2,無黨籍及未經政黨推薦,4,李佳蒨,3,臺灣雙語無法黨,22,陳長志,4,台灣維新,10,賴品妤,5,民主進步黨,676,廖先翔,6,中國國民黨,966,,,,,,,,
